BookingId,FlightId,PassengerId,BookingClass,BookingDate,TotalPrice
1,AA123,101,Economy,2024-07-26T10:30:00,250
2,BB456,102,Business,2024-07-27T14:00:00,400
3,CC789,103,First Class,2024-07-28T18:15:00,700
4,AA123,104,Economy,2024-07-29T09:45:00,250
5,DD012,105,Business,2024-07-30T11:30:00,400
6,EE345,106,Economy,2024-07-31T15:00:00,300
7,FF678,107,First Class,2024-08-01T20:00:00,650
8,GG901,108,Business,2024-08-02T12:45:00,450
9,HH234,109,Economy,2024-08-03T17:30:00,200
10,II567,110,First Class,2024-08-04T08:00:00,750
