SeatNumber,Status
1,Available
2,Available
3,Booked
4,Available
5,Available
6,Booked
7,Available
8,Available
9,Booked
10,Available
11,Available
12,Booked
13,Available
14,Available
15,Booked
16,Available
17,Available
18,Booked
19,Available
20,Available1,Available
2,Available
3,Available
4,Available
5,Available
6,Available
7,Available
8,Available
9,Available
10,Available
11,Available
12,Available
13,Available
14,Available
15,Available
16,Available
17,Available
18,Available
19,Available
20,Available
21,Available
22,Available
23,Available
24,Available
25,Available
26,Available
27,Available
28,Available
29,Available
30,Available
31,Available
32,Available
33,Available
34,Available
35,Available
36,Available
37,Available
38,Available
39,Available
40,Available
41,Available
42,Available
43,Available
44,Available
45,Available
46,Available
47,Available
48,Available
49,Available
50,Available
51,Available
52,Available
53,Available
54,Available
55,Available
56,Available
57,Available
58,Available
